gsc_reason,url,live_result,disposition,action_window,notes
Page with redirect,https://ibrahimuylas.com/,301 to 200,intentional redirect,complete,Canonical host redirect
Page with redirect,http://www.ibrahimuylas.com/,301 to 200,intentional redirect,complete,HTTPS and canonical host redirect
Page with redirect,http://ibrahimuylas.com/,301 to 200,intentional redirect,complete,HTTPS and canonical host redirect
Excluded by noindex tag,https://www.ibrahimuylas.com/author/ibrahim-uylas/page/13/,200,"noindex,follow",complete,Author pagination is excluded from sitemap
Excluded by noindex tag,https://www.ibrahimuylas.com/tag/kocaelikampyerleri/page/2/,200,"noindex,follow",complete,Tag pagination is excluded from sitemap
Discovered currently not indexed,https://www.ibrahimuylas.com/32.km-ilk-maraton-kosusu/,200,retain,8 August recheck,Substantive first-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/authors/,200 planned 301,merge+301,next deployment,Duplicate single-author directory to biography
Discovered currently not indexed,https://www.ibrahimuylas.com/avrupanin-en-kuzeyine-nordkappa/,200,retain,8 August recheck,First-person travel article
Discovered currently not indexed,https://www.ibrahimuylas.com/bir-hayalin-pesinde-kosmaya-var-misin/,200,"noindex,follow",18 September review,Very short personal story; keep accessible and recheck 90-day signals
Discovered currently not indexed,https://www.ibrahimuylas.com/borcka-karagol/,200,refresh,monthly refresh queue,Thin destination page with useful search intent
Discovered currently not indexed,https://www.ibrahimuylas.com/botlarin-kiymeti-bilinmeli/,200,refresh,monthly refresh queue,Thin equipment story with useful intent
Discovered currently not indexed,https://www.ibrahimuylas.com/bunun-adi-ask-likya-yolu/,200,retain,8 August recheck,Likya preparation cluster and first-person value
Discovered currently not indexed,https://www.ibrahimuylas.com/category/rotalar/,200,retain,8 August recheck,Useful category hub
Discovered currently not indexed,https://www.ibrahimuylas.com/contact/,200 planned 301,merge+301,next deployment,Duplicate contact route to Turkish contact page
Discovered currently not indexed,https://www.ibrahimuylas.com/dagin-basinda-da-dunya-kucukmus/,200,retain,8 August recheck,Substantive first-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/doga-yuruyuslerinde-nasil-giyinilmelidir/,200,retain,8 August recheck,Evergreen informational guide
Discovered currently not indexed,https://www.ibrahimuylas.com/dupnisa-magarasi/,200,refresh,monthly refresh queue,Thin destination guide
Discovered currently not indexed,https://www.ibrahimuylas.com/endurocuyuz-biz-mi-acaba/,200,retain,8 August recheck,Substantive first-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/ercuva-yaylasi/,200,refresh,monthly refresh queue,Thin destination guide
Discovered currently not indexed,https://www.ibrahimuylas.com/ferrino-lightent-2-kamp-cadiri/,200,retain,8 August recheck,Substantive equipment review
Discovered currently not indexed,https://www.ibrahimuylas.com/gezgin-olmak/,200,retain,8 August recheck,First-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/guvenli-kamp-atesi-icin-en-iyi-10-ipucu/,200,retain,8 August recheck,Substantive safety guide
Discovered currently not indexed,https://www.ibrahimuylas.com/hiking-ne-demek/,200,retain,8 August recheck,Evergreen informational guide
Discovered currently not indexed,https://www.ibrahimuylas.com/iletisim/,200,retain,8 August recheck,Canonical Turkish contact page
Discovered currently not indexed,https://www.ibrahimuylas.com/kamplarda-ve-doga-yuruyuslerinde-dji-pocket-2-incelemesi/,200,refresh,monthly refresh queue,Very thin equipment review
Discovered currently not indexed,https://www.ibrahimuylas.com/kurumsal-hayat-mi-dogal-hayat-mi/,200,retain,8 August recheck,First-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-10.-gun/,200,retain,8 August recheck,Daily log with Likya hub role
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-2.-gun/,200,retain,8 August recheck,Substantive daily log with hub role
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-5.-gun/,200,retain,8 August recheck,Daily log with Likya hub role
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-8.-gun/,200,retain,8 August recheck,Daily log with Likya hub role
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-9.-gun/,200,retain,8 August recheck,Daily log with Likya hub role
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yolu-rotasi-saribelenden-gokceorene/,200,retain,8 August recheck,Canonical route stage linked from hub
Discovered currently not indexed,https://www.ibrahimuylas.com/likya-yoluna-neden-tek-gidiyorsun/,200,retain,8 August recheck,First-person safety and planning value
Discovered currently not indexed,https://www.ibrahimuylas.com/likyaya-1-kala/,200,retain,8 August recheck,Daily-log cluster role
Discovered currently not indexed,https://www.ibrahimuylas.com/mahcup-saskin-ve-mutlu/,200,"noindex,follow",18 September review,Short personal story; keep accessible and recheck 90-day signals
Discovered currently not indexed,https://www.ibrahimuylas.com/msr-pocket-rocket-kamp-ocagi/,200,refresh,monthly refresh queue,Thin equipment review
Discovered currently not indexed,https://www.ibrahimuylas.com/r-degeri-nedir/,200,retain,8 August recheck,Substantive evergreen guide
Discovered currently not indexed,https://www.ibrahimuylas.com/serindere-kanyonu/,200,retain,8 August recheck,Substantive first-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/suluklu-gol-azrail-teget-gecti/,200,retain,8 August recheck,Substantive first-person article
Discovered currently not indexed,https://www.ibrahimuylas.com/tek-basina-doga-yuruyusu/,200,retain,8 August recheck,Evergreen informational article
Discovered currently not indexed,https://www.ibrahimuylas.com/trangia-kamp-tencere-seti/,200,refresh,monthly refresh queue,Thin equipment review
Discovered currently not indexed,https://www.ibrahimuylas.com/trekking-ile-hiking-arasindaki-farklar-nelerdir/,200,retain,8 August recheck,Evergreen informational guide
